Line ID,Line Name,Line Description,Control,Strain(s),Line Experimenter,Line Contact,Media,Assay ID,Assay Name,Type,Formal Type ID,Measurement Updated,X Units,Y Units,27.0
4394,C1-S9-B1.1-R1,None,F,JBEI-17792,,,2% Glucose,5580,C1-S9-B1.1-R1,LCFA_ECOLI,,2018-05-09 00:19:20.369905+00:00,hours,,745982.0
4394,C1-S9-B1.1-R1,None,F,JBEI-17792,,,2% Glucose,5580,C1-S9-B1.1-R1,"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",sp|Q41635|FATB_UMBCA,2018-05-09 00:19:20.390770+00:00,hours,,136812.0
4394,C1-S9-B1.1-R1,None,F,JBEI-17792,,,2% Glucose,5580,C1-S9-B1.1-R1,Fatty acyl-CoA reductase,sp|Q6F7B8|ACR1_ACIAD,2018-05-09 00:19:20.410770+00:00,hours,,0.0
4394,C1-S9-B1.1-R1,None,F,JBEI-17792,,,2% Glucose,5580,C1-S9-B1.1-R1,A1U2T0,tr|A1U2T0|A1U2T0_MARHV,2018-05-09 00:19:20.431334+00:00,hours,,8828.0
4394,C1-S9-B1.1-R1,None,F,JBEI-17792,,,2% Glucose,5580,C1-S9-B1.1-R1,A1U3L3,tr|A1U3L3|A1U3L3_MARHV,2018-05-09 00:19:20.451927+00:00,hours,,207289.0
4395,C1-S9-B1.1-R2,None,F,JBEI-17792,,,2% Glucose,5581,C1-S9-B1.1-R2,AHR_ECOLI,,2018-05-09 00:19:20.471776+00:00,hours,,0.0
4395,C1-S9-B1.1-R2,None,F,JBEI-17792,,,2% Glucose,5581,C1-S9-B1.1-R2,LCFA_ECOLI,,2018-05-09 00:19:20.491926+00:00,hours,,810667.0
4395,C1-S9-B1.1-R2,None,F,JBEI-17792,,,2% Glucose,5581,C1-S9-B1.1-R2,"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",sp|Q41635|FATB_UMBCA,2018-05-09 00:19:20.512044+00:00,hours,,142616.0
4395,C1-S9-B1.1-R2,None,F,JBEI-17792,,,2% Glucose,5581,C1-S9-B1.1-R2,Fatty acyl-CoA reductase,sp|Q6F7B8|ACR1_ACIAD,2018-05-09 00:19:20.537404+00:00,hours,,0.0
4395,C1-S9-B1.1-R2,None,F,JBEI-17792,,,2% Glucose,5581,C1-S9-B1.1-R2,A1U2T0,tr|A1U2T0|A1U2T0_MARHV,2018-05-09 00:19:20.556916+00:00,hours,,0.0
4395,C1-S9-B1.1-R2,None,F,JBEI-17792,,,2% Glucose,5581,C1-S9-B1.1-R2,A1U3L3,tr|A1U3L3|A1U3L3_MARHV,2018-05-09 00:19:20.576932+00:00,hours,,232565.0
4396,C1-S11-B1.1-R1,None,F,JBEI-17785,,,2% Glucose,5462,C1-S11-B1.1-R1,AHR_ECOLI,,2018-05-09 00:18:56.507696+00:00,hours,,0.0
4396,C1-S11-B1.1-R1,None,F,JBEI-17785,,,2% Glucose,5462,C1-S11-B1.1-R1,LCFA_ECOLI,,2018-05-09 00:18:56.543210+00:00,hours,,131484.0
4396,C1-S11-B1.1-R1,None,F,JBEI-17785,,,2% Glucose,5462,C1-S11-B1.1-R1,"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",sp|Q41635|FATB_UMBCA,2018-05-09 00:18:56.581784+00:00,hours,,73491.0
4396,C1-S11-B1.1-R1,None,F,JBEI-17785,,,2% Glucose,5462,C1-S11-B1.1-R1,Fatty acyl-CoA reductase,sp|Q6F7B8|ACR1_ACIAD,2018-05-09 00:18:56.615473+00:00,hours,,0.0
4396,C1-S11-B1.1-R1,None,F,JBEI-17785,,,2% Glucose,5462,C1-S11-B1.1-R1,A1U2T0,tr|A1U2T0|A1U2T0_MARHV,2018-05-09 00:18:56.653793+00:00,hours,,0.0
4396,C1-S11-B1.1-R1,None,F,JBEI-17785,,,2% Glucose,5462,C1-S11-B1.1-R1,A1U3L3,tr|A1U3L3|A1U3L3_MARHV,2018-05-09 00:18:56.687930+00:00,hours,,686451.0
4397,C1-S11-B1.1-R2,None,F,JBEI-17785,,,2% Glucose,5463,C1-S11-B1.1-R2,AHR_ECOLI,,2018-05-09 00:18:56.728644+00:00,hours,,380.0
4397,C1-S11-B1.1-R2,None,F,JBEI-17785,,,2% Glucose,5463,C1-S11-B1.1-R2,LCFA_ECOLI,,2018-05-09 00:18:56.767622+00:00,hours,,127385.0
4397,C1-S11-B1.1-R2,None,F,JBEI-17785,,,2% Glucose,5463,C1-S11-B1.1-R2,"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",sp|Q41635|FATB_UMBCA,2018-05-09 00:18:56.810301+00:00,hours,,76212.0
